,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42960,41,3,30759,5,4,2,3,0,4,1,0,0,60,38,0
29586,22,3,433669,7,12,4,5,1,4,1,0,0,36,38,0
13459,35,3,95653,11,9,0,2,1,4,1,0,0,56,38,0
4159,36,3,31023,12,14,2,3,0,4,1,0,0,50,38,1
1240,41,3,135056,12,14,6,9,1,4,0,10520,0,38,38,1
34029,60,3,24872,15,10,5,13,1,0,0,0,0,30,38,0
267,29,3,342400,0,6,2,2,0,4,1,0,0,25,38,0
27152,48,3,219565,11,9,2,2,0,4,1,0,0,40,38,0
10252,25,3,72294,11,9,4,0,3,4,0,0,0,40,38,0
37620,30,3,194901,11,9,4,11,2,4,1,0,0,40,38,0
29310,30,3,381153,11,9,4,2,1,4,1,0,0,40,38,0
8091,34,3,181651,11,9,0,2,1,4,1,0,0,40,38,0
35279,45,0,168232,9,13,4,0,1,4,1,0,0,55,38,1
26912,20,3,94057,15,10,4,7,3,4,1,0,0,15,38,0
39048,44,3,219155,15,10,2,11,0,4,1,0,0,50,8,1
17190,53,3,68898,15,10,2,12,0,4,1,0,0,40,38,0
7611,42,5,206066,12,14,4,9,3,4,1,0,0,45,38,0
13905,30,3,163867,11,9,2,2,0,4,1,0,0,40,38,0
15961,19,3,118535,15,10,4,7,3,4,0,0,0,20,38,0
6543,31,3,33731,11,9,2,3,0,4,1,7688,0,40,38,1
18102,31,3,332379,5,4,4,2,1,4,1,0,0,40,38,0
31757,20,3,371089,11,9,4,9,3,4,0,0,0,40,38,0
22639,45,1,148222,11,9,4,0,1,2,0,0,0,40,38,0
41355,38,3,257735,6,5,2,5,0,4,1,0,0,40,38,0
10365,61,5,185640,11,9,2,3,0,4,1,0,0,30,38,1
18045,46,3,133938,12,14,0,3,1,4,0,27828,0,50,38,1
14606,31,0,144949,9,13,2,0,0,4,1,0,0,40,38,0
21488,53,3,220640,9,13,0,9,2,3,0,0,0,20,38,0
33903,40,3,146908,10,16,2,9,0,4,1,0,0,60,38,1
13297,34,5,169186,11,9,2,4,0,4,1,0,0,50,38,0
46918,32,3,218322,11,9,2,2,0,4,1,0,0,40,38,0
24303,32,3,123971,1,7,0,9,1,4,0,0,0,49,38,0
38030,72,3,56559,11,9,2,11,0,4,1,0,0,12,38,0
23025,34,5,24961,11,9,2,4,0,4,1,0,0,80,38,0
39555,41,3,252986,15,10,2,2,0,4,1,0,0,48,38,1
19723,46,3,207940,15,10,2,2,0,2,1,0,0,40,38,1
23001,48,5,30840,15,10,2,9,0,4,1,5013,0,45,38,0
9398,26,3,61996,11,9,0,0,1,4,0,0,0,62,38,0
33269,21,3,277530,11,9,4,3,3,4,0,0,0,40,38,0
37867,29,3,116820,11,9,4,9,3,4,1,0,0,50,38,0
31975,33,3,183000,15,10,4,7,1,4,1,0,0,24,38,0
38453,23,3,140764,8,11,4,7,3,4,0,0,0,15,38,0
32554,41,3,205153,8,11,2,3,0,4,1,0,0,40,38,0
45269,50,3,269095,11,9,0,0,1,4,0,0,0,40,38,0
33702,41,3,92775,9,13,2,3,0,4,1,0,0,60,38,1
9562,50,3,197189,12,14,2,11,0,4,1,0,0,60,38,0
7080,53,3,171058,15,10,0,5,4,4,0,0,0,40,38,0
20231,29,3,315026,11,9,0,9,4,4,0,0,0,40,38,0
43250,19,6,144429,15,10,4,9,3,4,1,0,0,10,38,0
31109,24,3,291578,11,9,2,11,0,4,1,0,0,50,38,0
35258,37,3,193855,11,9,2,13,0,4,1,0,0,45,38,0
20945,22,3,183970,11,9,4,5,3,2,1,0,0,40,38,0
20795,37,0,207887,9,13,0,3,2,4,0,0,0,50,38,0
4029,37,3,280966,9,13,2,5,0,4,1,0,0,40,38,1
15311,24,3,456430,11,9,2,2,0,4,1,0,0,50,38,0
27963,56,3,100776,11,9,2,11,5,4,0,0,0,50,38,0
16912,49,1,120451,0,6,5,7,4,2,0,0,0,40,38,0
36270,42,3,68729,15,10,4,2,1,1,1,0,0,40,38,0
21610,45,1,37306,9,13,2,9,0,4,1,0,0,45,38,1
12092,44,3,213934,11,9,2,2,0,4,1,2829,0,42,38,0
41079,36,3,129591,11,9,4,7,1,4,1,0,0,40,38,0
11208,26,3,166301,9,13,4,12,1,4,1,0,0,40,38,0
17126,43,3,102895,15,10,0,9,1,4,1,0,0,40,38,0
25419,27,3,61387,9,13,2,9,0,4,1,0,0,15,38,0
32874,61,5,215591,11,9,2,3,0,4,1,0,1887,40,38,1
18332,53,3,302868,9,13,2,11,0,4,1,0,0,50,38,1
37255,25,3,161007,11,9,4,6,3,4,1,0,0,40,38,0
32144,34,3,220631,8,11,4,7,1,4,1,0,0,50,38,0
28291,20,6,178517,15,10,4,4,1,4,1,0,0,40,38,0
43207,33,3,312881,9,13,2,9,0,2,1,0,0,40,38,1
38989,53,1,283602,12,14,2,9,5,4,0,15024,0,40,38,1
34827,21,3,111676,15,10,4,7,1,4,0,0,0,40,38,0
48653,51,3,40641,15,10,2,3,0,4,1,0,0,60,38,1
45712,41,0,510072,9,13,2,3,0,4,1,0,0,40,38,1
33129,39,3,225330,9,13,6,9,4,4,0,0,0,50,30,1
43371,34,1,205704,12,14,4,9,1,4,1,0,0,35,38,0
23872,36,3,172256,11,9,2,6,0,4,1,0,0,44,38,1
2149,43,3,91317,7,12,4,2,4,4,0,0,0,40,38,0
31155,29,3,221977,15,10,2,0,5,4,0,0,0,40,38,1
32771,72,3,173427,11,9,2,9,0,4,1,0,0,40,4,0
39742,37,3,260093,11,9,4,0,4,2,0,0,0,40,38,0
21843,38,1,134444,15,10,2,10,0,4,1,0,0,72,38,0
44213,39,3,32146,15,10,4,2,1,4,1,0,0,40,38,0
2374,33,3,180624,11,9,0,6,4,2,0,0,0,40,38,0
18817,24,3,213427,11,9,4,0,1,4,1,0,0,40,38,0
16584,55,3,238638,11,9,2,11,0,4,1,4386,0,40,38,1
43665,32,3,204792,1,7,2,4,0,4,1,0,0,40,38,0
2097,22,3,384787,6,5,4,11,2,4,0,0,0,40,25,0
33619,32,3,245378,11,9,2,11,0,4,1,0,0,60,38,0
26387,33,3,229716,11,9,0,0,1,4,1,0,0,38,38,0
20844,25,3,267012,8,11,4,11,1,4,1,0,0,45,38,0
32514,37,5,184655,11,9,4,2,1,4,1,0,0,35,38,0
4764,25,3,193787,15,10,4,9,4,4,0,0,0,60,38,0
1410,20,3,190290,11,9,4,13,1,4,1,0,0,45,1,0
10901,21,3,131230,15,10,4,12,3,4,1,0,0,30,38,0
38825,62,3,205643,14,15,2,2,0,4,1,0,0,45,38,1
16981,36,1,110866,9,13,4,9,1,4,1,0,0,50,38,0
40725,28,3,200733,11,9,2,2,0,4,1,0,0,40,38,0
44205,42,3,198619,8,11,2,6,0,4,1,0,0,40,38,0
226,46,3,312088,9,13,2,9,0,4,1,15024,0,38,38,1
36896,27,5,37302,1,7,2,3,0,4,1,0,0,50,38,0
35448,45,0,106910,11,9,4,13,4,1,0,0,0,40,38,0
33810,40,6,26598,9,13,0,9,1,4,1,0,0,40,38,0
5128,56,6,222745,10,16,2,13,0,4,1,0,0,56,38,0
27517,31,3,96480,11,9,4,0,1,4,0,0,0,50,38,0
20885,26,3,171114,8,11,5,0,4,4,0,0,0,35,38,0
29614,23,3,125106,9,13,4,9,3,4,0,0,0,40,38,0
23992,42,5,93099,15,10,2,9,3,4,0,0,0,25,38,0
8628,42,3,226452,6,5,4,6,2,4,0,0,0,40,25,0
2949,58,5,98361,11,9,2,2,0,4,1,0,0,40,38,0
1174,74,1,168782,5,4,6,7,1,4,0,0,0,35,38,0
7901,37,3,107302,15,10,2,11,0,4,1,0,0,50,38,1
24731,52,3,122109,11,9,4,9,4,4,0,0,323,40,38,0
30263,46,1,226871,9,13,0,10,1,2,1,0,0,50,38,1
10951,30,0,49398,9,13,2,9,0,4,1,0,0,40,38,1
28117,49,0,586657,9,13,2,3,0,4,1,7298,0,40,38,1
2891,23,3,196678,15,10,4,11,3,4,0,0,0,20,38,0
22964,25,3,279667,0,6,2,2,0,4,1,0,0,45,38,0
43692,43,3,75993,15,10,2,11,0,4,1,7688,0,40,38,1
31696,46,3,428405,9,13,2,3,0,4,1,0,0,40,38,1
43657,65,3,461715,11,9,0,11,4,4,0,0,0,25,38,0
23493,31,3,318647,1,7,4,2,1,4,1,0,0,40,38,0
33656,32,3,154087,11,9,2,13,0,4,1,0,0,40,38,0
43863,78,5,82815,15,10,2,2,0,4,1,0,0,3,38,1
18870,46,3,238162,9,13,2,2,0,4,1,0,0,45,38,1
13153,31,3,328734,12,14,4,9,1,4,0,0,0,30,38,0
36005,38,3,127865,12,14,4,0,4,4,0,0,0,40,38,0
26241,19,3,228238,11,9,4,6,2,4,1,0,0,40,25,0
21920,37,3,126569,12,14,2,12,0,4,1,0,0,60,38,1
27727,54,5,117674,15,10,0,2,1,4,1,0,0,40,38,0
29260,45,3,84298,8,11,2,3,0,4,1,0,1977,50,38,1
40261,70,3,149040,11,9,6,9,1,4,0,2964,0,12,38,0
44374,25,3,131178,11,9,4,5,3,2,1,0,0,23,38,0
23983,69,6,34339,11,9,2,10,0,4,1,0,0,40,38,0
34976,45,3,197240,2,8,2,11,0,4,1,7688,0,40,38,1
6551,26,3,51961,15,10,4,10,1,2,1,0,0,55,29,0
21484,17,3,137042,0,6,4,9,3,4,1,0,0,20,38,0
14014,47,3,189680,11,9,5,2,4,4,1,0,0,40,38,1
40196,24,3,311949,11,9,4,9,1,1,0,0,0,45,38,0
1698,34,3,223327,11,9,2,12,0,4,1,0,1672,42,38,0
43824,30,3,257849,5,4,2,2,0,4,1,0,0,48,38,0
33947,59,3,212783,11,9,0,7,1,4,0,0,0,38,38,0
5549,38,3,103323,11,9,0,6,1,4,1,0,0,40,38,0
25383,68,3,201732,15,10,0,0,4,4,0,0,0,40,38,0
7656,27,3,587310,7,12,2,13,3,4,1,0,0,40,7,0
34751,17,3,86786,0,6,4,9,3,4,0,0,0,40,38,0
10490,35,3,250988,9,13,2,11,0,4,1,0,0,40,38,1
28224,50,1,311551,12,14,2,9,0,4,1,7688,0,50,38,1
33088,23,3,182615,15,10,4,0,3,4,1,0,0,40,38,0
33336,26,3,182308,15,10,2,9,0,4,1,0,0,40,38,0
41179,37,3,278632,6,5,2,13,0,4,1,0,0,40,38,0
34336,28,3,375313,11,9,4,12,1,1,1,0,0,50,38,0
24268,30,3,196396,15,10,4,6,1,4,1,0,0,40,38,0
15307,50,1,283314,7,12,2,10,0,4,1,0,1977,40,38,1
11708,64,3,166843,11,9,6,7,2,4,1,0,0,28,38,0
33464,51,1,156003,11,9,0,10,1,4,1,0,0,40,38,0
44651,32,3,177675,11,9,4,2,3,4,1,0,0,40,38,0
39907,27,1,172091,11,9,4,2,4,2,1,0,0,40,38,0
25598,32,3,188246,11,9,0,2,3,4,1,0,0,40,38,0
48259,41,3,29762,11,9,2,2,0,4,1,0,0,52,38,1
6036,42,3,199900,15,10,2,2,0,4,1,0,0,52,38,0
23323,37,0,33487,15,10,0,12,4,0,0,0,0,20,38,0
1497,49,3,28171,12,14,2,10,0,4,1,15024,0,78,38,1
15665,21,3,103031,15,10,2,9,0,4,1,0,0,20,38,0
21750,19,3,218956,11,9,4,9,3,4,1,0,0,40,38,0
19828,57,3,180920,0,6,2,2,0,4,1,0,0,43,38,0
15814,51,4,318351,11,9,0,0,1,4,0,0,1741,40,38,0
38403,34,3,198634,8,11,4,0,1,4,0,0,0,40,38,0
33358,54,4,108435,9,13,2,11,0,4,1,0,0,50,38,1
3282,21,3,256278,11,9,4,7,2,3,0,0,0,35,7,0
46263,17,3,132680,0,6,4,7,3,4,0,0,1602,10,38,0
10026,37,3,178877,11,9,2,0,0,4,1,0,0,45,38,0
24247,46,3,459189,15,10,2,2,0,4,1,0,1902,50,38,1
40155,50,3,163948,12,14,2,11,0,4,1,0,0,40,38,1
18221,39,3,165186,15,10,2,4,0,4,1,0,0,45,38,0
16754,30,3,303990,11,9,4,13,1,4,1,0,0,60,38,0
30913,20,1,247794,8,11,4,0,3,4,0,0,0,35,38,0
19245,27,3,193701,11,9,4,2,3,4,0,0,0,45,38,0
750,41,0,46366,9,13,2,3,5,2,0,0,0,50,38,1
40827,43,4,170785,15,10,2,11,0,4,1,0,0,55,38,0
47677,23,3,118023,15,10,4,3,1,4,1,0,0,45,38,0
41744,41,3,96635,11,9,4,3,1,1,1,0,0,60,38,0
18233,30,3,226013,9,13,4,9,1,2,1,0,0,40,38,0
40320,26,3,222637,0,6,4,2,1,4,1,0,0,55,32,0
34632,19,3,63918,15,10,4,0,1,4,1,0,0,40,38,0
311,22,3,197200,15,10,4,5,3,4,1,0,0,40,38,0
41878,61,5,117387,1,7,2,3,0,4,1,0,0,20,38,0
45431,19,3,570002,15,10,4,11,3,4,0,0,0,25,38,0
33680,21,3,218957,1,7,4,2,3,4,1,0,0,45,38,0
4665,31,0,206857,11,9,4,0,1,4,0,0,0,40,38,0
16781,23,1,324960,11,9,4,4,1,4,1,0,0,40,30,0
34835,37,4,116554,12,14,0,3,1,4,0,0,0,70,38,0
10629,47,0,186256,7,12,2,3,0,4,1,15024,0,40,38,1
1696,55,3,200327,11,9,2,0,5,4,0,0,0,18,38,0
7416,51,3,197189,11,9,2,3,0,4,1,0,0,40,38,0
41911,27,3,250314,6,5,2,10,0,4,1,0,0,40,12,0
6865,39,5,87076,11,9,2,4,0,4,1,0,0,45,38,1
47095,24,3,51973,9,13,4,0,1,4,0,0,0,45,38,0
45934,34,3,185556,15,10,4,9,1,4,0,0,0,12,38,1
5053,22,3,122048,9,13,4,0,3,4,0,4416,0,40,38,0
48027,39,3,42044,1,7,2,13,0,4,1,0,0,40,38,0
22567,24,3,138938,15,10,0,0,1,4,0,0,0,40,38,0
7599,22,3,324685,6,5,4,11,1,4,0,0,0,32,38,0
44712,43,6,38537,15,10,0,3,4,2,0,0,0,38,38,0
19700,39,3,346478,15,10,4,3,1,4,1,0,0,45,38,0
25679,27,5,30244,11,9,4,4,3,4,1,0,0,80,38,0
19469,59,3,374924,11,9,5,11,4,2,0,0,0,40,38,0
12990,34,1,79190,9,13,2,9,5,4,0,0,0,50,38,0
47138,59,3,95283,3,2,2,6,0,4,1,0,0,40,38,0
24929,21,3,73679,15,10,4,3,3,4,0,0,0,40,38,0
22096,45,5,67716,15,10,2,3,0,4,1,0,0,60,38,0
24321,51,3,142717,10,16,0,2,1,4,0,4787,0,60,38,1
8304,47,6,119458,11,9,2,10,0,0,1,0,0,40,38,0
10157,20,3,139989,15,10,4,0,3,2,1,0,0,40,38,0
2489,37,1,484475,9,13,4,7,1,2,1,0,0,60,38,0
16451,27,3,124953,11,9,4,7,1,4,1,0,1980,40,38,0
39694,50,3,145717,11,9,6,0,4,4,0,0,0,35,38,0
45021,74,4,231002,11,9,2,3,0,4,1,0,0,30,38,1
4593,38,3,65624,15,10,2,0,0,4,1,0,0,45,38,0
46712,54,3,172962,9,13,0,9,1,4,1,0,1340,40,38,0
12377,31,4,118584,15,10,0,3,1,4,0,0,0,40,38,0
15079,57,3,138777,9,13,2,10,5,4,0,0,0,45,10,1
48275,31,3,118399,1,7,2,6,0,4,1,0,0,40,38,0
5756,57,3,113090,11,9,2,0,0,4,1,0,0,40,38,1
33391,49,3,137192,9,13,2,11,0,1,1,0,1977,50,34,1
10229,46,3,224559,11,9,2,2,0,2,1,0,0,35,38,0
16423,19,3,316868,15,10,4,7,3,4,1,0,0,30,25,0
23673,32,3,71540,15,10,0,9,1,4,1,0,0,40,38,0
3350,52,6,21764,15,10,2,3,0,4,1,0,0,60,38,1
32480,30,3,114691,11,9,4,4,3,4,1,0,0,40,38,0
36529,41,0,253770,15,10,2,13,5,4,0,7298,0,40,38,1
27239,56,0,196307,10,16,2,9,0,4,1,0,0,40,38,1
29173,27,3,208725,7,12,4,11,1,4,1,0,0,42,38,0
438,45,5,196858,11,9,2,3,0,4,1,0,0,60,38,0
23739,21,3,197583,15,10,4,0,3,4,0,0,0,20,38,0
6740,17,3,227960,1,7,4,7,3,4,1,0,0,10,32,0
34163,50,3,281504,15,10,2,9,0,4,1,0,0,40,38,0
42657,23,3,378546,15,10,4,2,3,4,1,0,0,40,38,0
5684,44,3,346081,11,9,0,9,1,4,1,0,0,40,38,1
48184,35,1,116960,12,14,2,9,0,4,1,0,1887,40,38,1
41492,42,5,29320,14,15,0,9,4,4,1,0,0,60,38,1
1188,30,6,157990,11,9,2,0,0,4,1,0,0,40,38,0
9994,49,4,93557,7,12,2,3,0,4,1,0,0,45,38,1
32587,27,3,169117,11,9,2,0,5,2,0,0,1887,40,38,1
29792,28,5,39388,8,11,2,4,0,4,1,0,0,60,38,0
24799,29,3,229729,11,9,4,13,1,4,1,0,0,40,38,0
24810,70,1,88638,12,14,4,9,4,4,0,7896,0,50,38,1
41023,24,6,197731,11,9,2,13,0,4,1,0,0,49,38,1
30269,24,3,138768,7,12,4,5,3,4,1,0,0,30,38,0
15671,26,3,182194,7,12,4,7,1,4,0,0,0,40,38,0
6649,58,3,102791,11,9,0,7,3,4,0,0,0,40,38,0
45834,42,3,79586,9,13,2,0,0,1,1,0,0,40,38,1
42213,69,3,197080,11,9,6,0,4,4,1,0,0,8,38,0
13152,59,3,184553,11,9,2,5,0,4,1,0,0,45,38,0
20589,35,5,166416,11,9,2,4,0,4,1,0,0,99,38,0
35515,26,3,213081,11,9,4,0,4,2,0,0,0,40,22,0
7981,48,1,218357,11,9,5,13,4,4,0,0,0,25,38,0
9595,24,3,114292,15,10,4,2,4,4,1,0,0,40,38,0
38606,61,5,315977,11,9,2,13,0,2,1,0,0,40,38,0
14169,30,3,49795,11,9,4,0,1,4,1,0,0,40,38,0
773,30,3,127875,1,7,4,11,4,4,0,0,0,8,38,0
36511,21,3,206681,15,10,4,11,3,4,0,0,0,15,38,0
3394,40,5,60949,8,11,2,2,0,4,1,0,0,40,38,0
24921,19,3,427862,15,10,4,7,3,4,1,0,0,35,38,0
18666,56,4,211804,9,13,2,11,0,4,1,15024,0,50,38,1
34476,36,3,22494,15,10,0,3,4,4,0,0,0,40,38,0
37469,46,3,28419,14,15,2,9,0,4,1,99999,0,50,38,1
35223,18,3,163085,11,9,5,9,3,4,1,0,0,20,38,0
31060,39,6,221059,12,14,2,9,2,3,0,7688,0,38,38,1
31538,53,3,341439,12,14,4,3,1,4,0,0,0,60,38,1
44484,33,3,148261,15,10,2,2,0,4,1,0,0,40,38,0
10586,45,0,199925,8,11,4,0,4,4,1,0,0,48,38,0
38527,28,3,233796,15,10,2,0,5,4,0,7298,0,32,38,1
40830,48,3,168283,15,10,2,13,0,4,1,0,0,45,38,1
27638,24,3,179423,11,9,4,0,3,4,0,0,0,40,38,0
27560,38,3,173047,9,13,0,0,4,1,0,0,213,40,29,0
10317,46,3,224314,9,13,6,3,4,4,0,0,0,20,38,0
5809,30,3,215808,11,9,5,5,1,4,1,0,0,60,38,0
21758,19,6,156294,15,10,4,9,3,4,1,0,0,25,38,0
39710,36,3,215392,8,11,2,9,5,4,0,0,0,40,38,1
15178,32,4,225053,9,13,2,3,0,4,1,99999,0,60,38,1
31096,36,5,186035,14,15,2,11,0,4,1,0,0,30,38,1
22059,18,3,120029,15,10,4,0,2,4,0,0,0,20,38,0
37856,39,3,219155,11,9,2,6,0,4,1,0,0,43,38,0
39138,17,1,340043,2,8,4,0,3,4,0,0,0,12,38,0
6222,20,3,249385,15,10,4,2,3,4,0,0,0,20,38,0
25178,29,3,137618,15,10,4,7,1,4,0,0,0,41,38,1
43448,17,3,721712,0,6,4,7,3,4,1,0,0,15,38,0
1426,35,6,28738,9,13,4,0,1,4,0,4101,0,40,38,0
8101,45,5,40666,8,11,2,4,0,4,1,2885,0,60,38,0
40507,45,3,240841,12,14,4,9,1,4,0,0,0,40,38,0
2754,27,3,178713,1,7,4,11,1,4,1,0,0,35,38,0
19679,34,3,173730,9,13,2,3,0,4,1,0,0,50,38,1
40916,34,3,176648,11,9,0,0,1,2,1,0,0,42,38,0
48173,55,3,92215,11,9,4,0,1,4,0,0,0,45,38,0
23144,26,3,292803,15,10,4,7,3,4,0,0,0,24,38,0
36066,30,3,158420,9,13,4,6,1,4,1,0,0,25,38,0
45789,18,3,152044,0,6,4,7,3,4,0,0,0,3,38,0
43347,30,3,275232,7,12,4,9,4,2,0,0,0,36,38,0
1763,38,6,364803,15,10,2,13,0,2,1,0,0,65,38,0
31327,34,3,248754,1,7,4,6,1,4,1,0,0,40,38,0
27327,23,3,141003,11,9,4,9,3,4,1,0,0,60,38,0
1656,35,6,308945,15,10,2,6,0,4,1,0,0,50,38,1
8202,29,3,158096,9,13,4,6,1,4,1,0,0,40,38,0
2277,24,3,166827,11,9,0,11,1,4,0,0,0,30,38,0
47608,38,6,125499,9,13,2,9,0,1,1,7688,0,60,18,1
18439,57,4,119253,12,14,2,11,0,4,1,15024,0,65,38,1
44171,33,5,109959,15,10,2,11,0,4,1,0,0,25,38,0
15135,72,5,379376,14,15,2,9,0,4,1,0,0,35,38,0
7747,34,3,244147,11,9,2,7,0,4,1,0,0,40,38,1
4559,45,3,252079,12,14,2,3,0,4,1,0,0,40,38,1
33876,33,3,301867,15,10,4,0,4,1,0,0,0,35,38,0
31166,72,3,157913,9,13,2,10,0,4,1,0,0,17,38,0
24720,37,3,155064,8,11,0,9,4,4,0,0,0,40,38,0
896,25,3,221757,9,13,4,3,1,4,1,0,0,50,38,0
21351,20,3,174714,15,10,4,9,3,4,1,0,0,15,38,0
18435,75,3,101887,0,6,6,8,1,4,0,0,0,70,38,0
2927,18,3,163067,15,10,4,10,3,4,0,0,0,40,38,0
13131,46,3,178768,11,9,0,12,1,4,0,0,0,20,38,0
28993,27,3,214702,14,15,2,9,0,4,1,0,0,42,38,1
6561,73,1,114561,4,3,6,7,2,1,0,0,0,25,29,0
23176,21,3,35424,15,10,4,11,3,4,0,0,0,25,38,0
40478,37,3,195189,15,10,0,7,4,2,0,0,0,40,38,0
38618,28,1,149991,9,13,2,10,0,2,1,0,0,42,38,1
14365,27,3,310483,9,13,0,9,1,4,1,0,0,50,38,0
28705,32,3,390997,3,2,4,4,1,3,1,0,0,50,25,0
48168,36,3,128876,0,6,2,2,0,4,1,0,0,40,38,0
6401,60,3,164599,15,10,2,3,0,4,1,7298,0,40,38,1
18080,63,3,151210,5,4,0,11,1,4,0,0,0,40,38,0
31970,43,3,26915,8,11,2,3,0,4,1,0,0,45,38,1
43154,42,3,227065,15,10,2,9,0,4,1,15024,0,32,38,1
43434,33,3,170148,11,9,0,0,4,4,0,0,0,45,38,0
37399,20,3,378546,11,9,4,2,3,4,1,0,0,25,38,0
32877,47,3,188081,11,9,2,6,0,4,1,0,0,40,38,1
12551,37,0,39207,11,9,4,0,1,4,1,0,0,40,38,1
36954,44,3,163215,2,8,0,6,4,4,0,0,0,40,38,0
48491,31,3,284395,9,13,2,11,0,4,1,0,0,40,38,0
26139,35,3,474136,11,9,4,2,1,4,1,0,1408,40,38,0
26429,23,3,96585,11,9,4,5,1,4,1,0,0,30,38,0
35180,58,5,196403,11,9,2,3,5,4,0,0,0,10,38,1
33420,33,3,209317,6,5,4,7,1,4,1,0,0,45,7,0
4679,41,1,120277,9,13,2,9,0,4,1,0,0,35,38,1
5771,56,4,220896,11,9,2,3,0,4,1,0,0,40,38,1
21871,78,3,363134,11,9,6,9,1,4,0,0,0,1,38,0
25927,62,5,26911,5,4,6,7,1,4,0,0,0,66,38,0
